advertiser,pageId,libraryId,active,start,end,format,cta,link,title,body,regions,mediaFiles
Canopus Construções,1866016760295816,2485057725167396,True,2025-05-15,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,2485057725167396_card0_card_image.png;2485057725167396_card1_card_image.png;2485057725167396_card2_card_image.png
Canopus Construções,1866016760295816,1051554992970276,False,2025-05-15,2026-06-14,VIDEO,Saiba mais,http://fb.me/,Mensalidades a partir de R$399,"🔥 LANÇAMENTO IMPERDÍVEL! 🔥 🏡 Village Natureza II chegou com tudo pra mudar sua vida! 💥 Entrada parcelada em até 72x 💰 Sinal a partir de R$1.000 📉 Mensais a partir de R$399 💼 Dentro do Minha Casa Minha Vida 🚀 Corra, as unidades são LIMITADAS! 👉 Clique em ""Saber mais"" e garanta o seu agora!",,1051554992970276_0_video_sd.mp4;1051554992970276_0_video_preview.jpg
Canopus Construções,1866016760295816,1264575481971646,True,2025-05-15,2026-09-14,VIDEO,Saiba mais,http://fb.me/,Saia do Aluguel,"🎈 Realize o sonho da casa própria com o Village Alvorada III! Esse é o empreendimento Minha Casa Minha Vida que você estava esperando.  💵 Sinal a partir de R$1.000, entrada em até 60x e parcelas mensais a partir de R$399. 🚪 Não perca essa chance de sair do aluguel de vez!  Faça seu cadastro para receber todas as informações. 👇",,1264575481971646_0_video_hd.mp4;1264575481971646_0_video_sd.mp4;1264575481971646_0_video_preview.jpg
Canopus Construções,1866016760295816,1995868334277019,True,2025-05-15,2026-09-16,VIDEO,Saiba mais,http://fb.me/,Saia do Aluguel,"🎈 Realize o sonho da casa própria com o Village Alvorada III! Esse é o empreendimento Minha Casa Minha Vida que você estava esperando.  💵 Sinal a partir de R$1.000, entrada em até 60x e parcelas mensais a partir de R$399. 🚪 Não perca essa chance de sair do aluguel de vez!  Faça seu cadastro para receber todas as informações. 👇",,1995868334277019_0_video_hd.mp4;1995868334277019_0_video_sd.mp4;1995868334277019_0_video_preview.jpg
Canopus Construções,1866016760295816,998253215841555,True,2025-05-15,2026-09-08,VIDEO,Saiba mais,http://fb.me/,Saia do Aluguel,"🎈 Realize o sonho da casa própria com o Village Alvorada III! Esse é o empreendimento Minha Casa Minha Vida que você estava esperando.  💵 Sinal a partir de R$1.000, entrada em até 60x e parcelas mensais a partir de R$399. 🚪 Não perca essa chance de sair do aluguel de vez!  Faça seu cadastro para receber todas as informações. 👇",,998253215841555_0_video_hd.mp4;998253215841555_0_video_sd.mp4;998253215841555_0_video_preview.jpg
Canopus Construções,1866016760295816,3546359768828019,False,2025-05-16,2026-06-15,VIDEO,Saiba mais,http://fb.me/,Mensalidades a partir de R$399,"🔥 LANÇAMENTO IMPERDÍVEL! 🔥 🏡 Village Natureza II chegou com tudo pra mudar sua vida! 💥 Entrada parcelada em até 72x 💰 Sinal a partir de R$1.000 📉 Mensais a partir de R$399 💼 Dentro do Minha Casa Minha Vida 🚀 Corra, as unidades são LIMITADAS! 👉 Clique em ""Saber mais"" e garanta o seu agora!",,3546359768828019_0_video_sd.mp4;3546359768828019_0_video_preview.jpg
Canopus Construções,1866016760295816,1890226684852365,True,2025-06-30,2026-09-16,VIDEO,Saiba mais,http://fb.me/,💸 Mensais a partir de R$399,"🏡 Chegou a hora de sair do aluguel! Village Parque Ville é o condomínio de casas perfeito pra você: com piscina, área de lazer, petplace e muito mais! 💰 Entrada a partir de R$1.000 📅 Parcelamento em até 72x Tudo isso com o selo Minha Casa Minha Vida. Garanta já sua casa no paraíso de São José de Ribamar!",,1890226684852365_0_video_hd.mp4;1890226684852365_0_video_sd.mp4;1890226684852365_0_video_preview.jpg
Canopus Construções,1866016760295816,766968899095136,True,2025-07-07,2026-09-16,VIDEO,Saiba mais,http://fb.me/,Entrada a partir de R$500,💡 Oportunidade imperdível em Caucaia! 🏡 Apartamento financiado pelo Minha Casa Minha Vida 📍 Ao lado do novo shopping da Caucaia ✨ Condomínio fechado com campo de futebol e piscina  💰 Parcelas a partir de R$ 560 e entrada de apenas R$ 500 🗝️ Comece a pagar só depois de receber as chaves! 📞 Renda mínima: R$ 1.800. Entre em contato agora mesmo!,,766968899095136_0_video_hd.mp4;766968899095136_0_video_sd.mp4;766968899095136_0_video_preview.jpg
Canopus Construções,1866016760295816,1059133839522928,True,2025-07-07,2026-09-16,VIDEO,Saiba mais,http://fb.me/,Entrada a partir de R$500,💡 Oportunidade imperdível em Caucaia! 🏡 Apartamento financiado pelo Minha Casa Minha Vida 📍 Ao lado do novo shopping da Caucaia ✨ Condomínio fechado com campo de futebol e piscina  💰 Parcelas a partir de R$ 560 e entrada de apenas R$ 500 🗝️ Comece a pagar só depois de receber as chaves! 📞 Renda mínima: R$ 1.800. Entre em contato agora mesmo!,,1059133839522928_0_video_hd.mp4;1059133839522928_0_video_sd.mp4;1059133839522928_0_video_preview.jpg
Canopus Construções,1866016760295816,1644122702953802,True,2025-07-07,2026-09-16,VIDEO,Saiba mais,http://fb.me/,Entrada a partir de R$500,💡 Oportunidade imperdível em Caucaia! 🏡 Apartamento financiado pelo Minha Casa Minha Vida 📍 Ao lado do novo shopping da Caucaia ✨ Condomínio fechado com campo de futebol e piscina  💰 Parcelas a partir de R$ 560 e entrada de apenas R$ 500 🗝️ Comece a pagar só depois de receber as chaves! 📞 Renda mínima: R$ 1.800. Entre em contato agora mesmo!,,1644122702953802_0_video_hd.mp4;1644122702953802_0_video_sd.mp4;1644122702953802_0_video_preview.jpg
Canopus Construções,1866016760295816,3899440960366413,True,2025-07-07,2026-09-15,VIDEO,Saiba mais,http://fb.me/,Entrada a partir de R$500,💡 Oportunidade imperdível em Caucaia! 🏡 Apartamento financiado pelo Minha Casa Minha Vida 📍 Ao lado do novo shopping da Caucaia ✨ Condomínio fechado com campo de futebol e piscina  💰 Parcelas a partir de R$ 560 e entrada de apenas R$ 500 🗝️ Comece a pagar só depois de receber as chaves! 📞 Renda mínima: R$ 1.800. Entre em contato agora mesmo!,,3899440960366413_0_video_hd.mp4;3899440960366413_0_video_sd.mp4;3899440960366413_0_video_preview.jpg
Canopus Construções,1866016760295816,2266092427188418,True,2025-10-17,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,2266092427188418_card0_card_image.jpg;2266092427188418_card1_card_image.jpg
Canopus Construções,1866016760295816,796481256315924,True,2025-10-17,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,796481256315924_card0_card_image.jpg;796481256315924_card1_card_image.jpg;796481256315924_card2_card_image.jpg
Canopus Construções,1866016760295816,1345328736941416,True,2025-10-17,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1345328736941416_card0_card_image.jpg;1345328736941416_card1_card_image.jpg
Canopus Construções,1866016760295816,25293560610249000,True,2025-10-17,2026-09-14,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,25293560610249000_card0_card_image.jpg;25293560610249000_card1_card_image.jpg
Canopus Construções,1866016760295816,836732189012157,True,2025-10-21,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,836732189012157_card0_card_image.jpg;836732189012157_card1_card_image.jpg;836732189012157_card2_card_image.jpg
Canopus Construções,1866016760295816,1171494601546353,True,2025-10-21,2026-09-14,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1171494601546353_card0_card_image.jpg;1171494601546353_card1_card_image.jpg
Canopus Construções,1866016760295816,1334391961656172,True,2025-10-21,2026-09-13,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1334391961656172_card0_card_image.jpg;1334391961656172_card1_card_image.jpg;1334391961656172_card2_card_image.jpg
Canopus Construções,1866016760295816,2660564647622855,True,2025-10-21,2026-09-12,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,2660564647622855_card0_card_image.jpg;2660564647622855_card1_card_image.jpg
Canopus Construções,1866016760295816,1156310522938967,True,2025-12-22,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1156310522938967_card0_card_image.jpg;1156310522938967_card1_card_image.jpg
Canopus Construções,1866016760295816,2136302906906870,True,2026-01-27,2026-09-16,VIDEO,Enviar mensagem pelo WhatsApp,https://api.whatsapp.com/send,Saia do Aluguel com a Canopus,"Casa ou apartamento? Morar ou investir? 🤔 Não importa qual seja a sua dúvida, a resposta certa está aqui na Canopus Forquilha! 🧡  Chega de adiar o sonho da casa própria. Aqui você encontra:  ✅ Simulações personalizadas para o seu bolso;  ✅ Empreendimentos com conforto, lazer e segurança;  ✅ Localização estratégica e facilidade para sair do aluguel.  📍 Estamos te esperando na Estrada de Ribamar, logo após o retorno da Forquilha. Temos estacionamento na porta e um time de corretores pronto para te atender!  O sonho não começa quando você assina o contrato, ele começa quando você dá o primeiro passo. Vem pra cá! 🚀🏠",,2136302906906870_0_video_hd.mp4;2136302906906870_0_video_sd.mp4;2136302906906870_0_video_preview.jpg
Canopus Construções,1866016760295816,1186674923398425,True,2026-03-30,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1186674923398425_card0_card_image.png;1186674923398425_card1_card_image.png;1186674923398425_card2_card_image.png
Canopus Construções,1866016760295816,954216850457332,True,2026-03-30,2026-09-15,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,954216850457332_card0_card_image.png;954216850457332_card1_card_image.png
Canopus Construções,1866016760295816,939583378861651,True,2026-03-30,2026-09-15,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,939583378861651_card0_card_image.png;939583378861651_card1_card_image.png
Canopus Construções,1866016760295816,1528827148865624,True,2026-03-30,2026-09-15,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1528827148865624_card0_card_image.png;1528827148865624_card1_card_image.png;1528827148865624_card2_card_image.png
Canopus Construções,1866016760295816,793432047161433,True,2026-03-31,2026-09-15,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,793432047161433_card0_card_image.png;793432047161433_card1_card_image.png;793432047161433_card2_card_image.png
Canopus Construções,1866016760295816,1644682446963796,True,2026-03-31,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1644682446963796_card0_card_image.png;1644682446963796_card1_card_image.png;1644682446963796_card2_card_image.png
Canopus Construções,1866016760295816,1856813598321647,True,2026-04-01,2026-09-14,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1856813598321647_card0_card_image.png;1856813598321647_card1_card_image.png;1856813598321647_card2_card_image.png
Canopus Construções,1866016760295816,1726847388645745,True,2026-04-02,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1726847388645745_card0_card_image.png;1726847388645745_card1_card_image.png;1726847388645745_card2_card_image.png
Canopus Construções,1866016760295816,1670090944415558,True,2026-04-13,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1670090944415558_card0_card_image.png;1670090944415558_card1_card_image.png;1670090944415558_card2_card_image.png
Canopus Construções,1866016760295816,1564553594618887,True,2026-04-13,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1564553594618887_card0_card_image.png;1564553594618887_card1_card_image.png;1564553594618887_card2_card_image.png
Canopus Construções,1866016760295816,1850338122317823,True,2026-04-13,2026-09-14,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1850338122317823_card0_card_image.png;1850338122317823_card1_card_image.png;1850338122317823_card2_card_image.png
Canopus Construções,1866016760295816,952853373959472,True,2026-04-13,2026-09-15,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,952853373959472_card0_card_image.png;952853373959472_card1_card_image.png;952853373959472_card2_card_image.png
Canopus Construções,1866016760295816,915154874680388,True,2026-04-13,2026-09-15,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,915154874680388_card0_card_image.png;915154874680388_card1_card_image.png
Canopus Construções,1866016760295816,1277540607848536,True,2026-04-14,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1277540607848536_card0_card_image.png;1277540607848536_card1_card_image.png;1277540607848536_card2_card_image.png
Canopus Construções,1866016760295816,2209615376536016,True,2026-04-16,2026-09-16,VIDEO,Saiba mais,http://fb.me/,💸 Mensais a partir de R$399,"🚨 VOCÊ AINDA TÁ PAGANDO ALUGUEL? Com uma renda a partir de R$1.800, já dá pra sair disso… 👀 ✨ Vem aí o Village das Águas II Novo lançamento da Canopus! 💰 Mensais a partir de R$399 📉 Entrada facilitada em até 72x 🏡 Seu apê próprio mais perto do que você imagina 📍 Localização estratégica: ✔ 3 min da Selfit Forquilha ✔ 5 min do Pátio Norte Shopping ✔ Fácil acesso a transporte público 💡 Perfeito pra quem quer: • Parar de pagar aluguel • Conquistar o primeiro imóvel • Ter mais estabilidade 🔥 Lançamento – condições especiais por tempo limitado 👉 Clique em ""Saiba mais"" e veja se você pode ser aprovado!",,2209615376536016_0_video_hd.mp4;2209615376536016_0_video_sd.mp4;2209615376536016_0_video_preview.jpg
Canopus Construções,1866016760295816,1640862347117735,True,2026-04-16,2026-09-16,VIDEO,Saiba mais,http://fb.me/,💸 Mensais a partir de R$399,"🚨 SAIA DO ALUGUEL DE VEZ! Você sabia que com uma renda a partir de R$1.800 já dá pra conquistar seu apê? 👀  ✨ Chegou o Village das Estrelas Uma oportunidade REAL de mudar de vida.  💰 Parcelas a partir de R$399/mês 📉 Entrada facilitada em até 72x 🏡 Condomínio completo e planejado  📍 Localização estratégica: ✔ 1 min de postos de gasolina ✔ 3 min do Mix Mateus ✔ Próximo de tudo que você precisa  💡 Ideal pra quem quer: • Sair do aluguel • Conquistar o primeiro imóvel • Investir com segurança  👉 Clique em ""Saiba mais"" e veja se você pode ser aprovado!",,1640862347117735_0_video_hd.mp4;1640862347117735_0_video_sd.mp4;1640862347117735_0_video_preview.jpg
Canopus Construções,1866016760295816,887718547656454,True,2026-04-16,2026-09-16,VIDEO,Saiba mais,http://fb.me/,💸 Mensais a partir de R$399,"🚨 SAIA DO ALUGUEL DE VEZ! Você sabia que com uma renda a partir de R$1.800 já dá pra conquistar seu apê? 👀  ✨ Chegou o Village das Estrelas Uma oportunidade REAL de mudar de vida.  💰 Parcelas a partir de R$399/mês 📉 Entrada facilitada em até 72x 🏡 Condomínio completo e planejado  📍 Localização estratégica: ✔ 1 min de postos de gasolina ✔ 3 min do Mix Mateus ✔ Próximo de tudo que você precisa  💡 Ideal pra quem quer: • Sair do aluguel • Conquistar o primeiro imóvel • Investir com segurança  👉 Clique em ""Saiba mais"" e veja se você pode ser aprovado!",,887718547656454_0_video_hd.mp4;887718547656454_0_video_sd.mp4;887718547656454_0_video_preview.jpg
Canopus Construções,1866016760295816,1677988720014432,True,2026-04-16,2026-09-16,VIDEO,Saiba mais,http://fb.me/,💸 Mensais a partir de R$399,"🚨 SAIA DO ALUGUEL DE VEZ! Você sabia que com uma renda a partir de R$1.800 já dá pra conquistar seu apê? 👀  ✨ Chegou o Village das Estrelas Uma oportunidade REAL de mudar de vida.  💰 Parcelas a partir de R$399/mês 📉 Entrada facilitada em até 72x 🏡 Condomínio completo e planejado  📍 Localização estratégica: ✔ 1 min de postos de gasolina ✔ 3 min do Mix Mateus ✔ Próximo de tudo que você precisa  💡 Ideal pra quem quer: • Sair do aluguel • Conquistar o primeiro imóvel • Investir com segurança  👉 Clique em ""Saiba mais"" e veja se você pode ser aprovado!",,1677988720014432_0_video_hd.mp4;1677988720014432_0_video_sd.mp4;1677988720014432_0_video_preview.jpg
Canopus Construções,1866016760295816,2808703689478826,True,2026-04-16,2026-09-16,VIDEO,Saiba mais,http://fb.me/,💸 Mensais a partir de R$399,"🚨 SAIA DO ALUGUEL DE VEZ! Você sabia que com uma renda a partir de R$1.800 já dá pra conquistar seu apê? 👀  ✨ Chegou o Village das Estrelas Uma oportunidade REAL de mudar de vida.  💰 Parcelas a partir de R$399/mês 📉 Entrada facilitada em até 72x 🏡 Condomínio completo e planejado  📍 Localização estratégica: ✔ 1 min de postos de gasolina ✔ 3 min do Mix Mateus ✔ Próximo de tudo que você precisa  💡 Ideal pra quem quer: • Sair do aluguel • Conquistar o primeiro imóvel • Investir com segurança  👉 Clique em ""Saiba mais"" e veja se você pode ser aprovado!",,2808703689478826_0_video_hd.mp4;2808703689478826_0_video_sd.mp4;2808703689478826_0_video_preview.jpg
Canopus Construções,1866016760295816,1669864730863614,True,2026-04-16,2026-09-14,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1669864730863614_card0_card_image.png;1669864730863614_card1_card_image.png
Canopus Construções,1866016760295816,958304839916058,True,2026-04-16,2026-09-15,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,958304839916058_card0_card_image.png;958304839916058_card1_card_image.png;958304839916058_card2_card_image.png
Canopus Construções,1866016760295816,1288341512654856,True,2026-04-16,2026-09-15,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1288341512654856_card0_card_image.png;1288341512654856_card1_card_image.png;1288341512654856_card2_card_image.png
Canopus Construções,1866016760295816,836614148800965,True,2026-04-17,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,836614148800965_card0_card_image.png;836614148800965_card1_card_image.png;836614148800965_card2_card_image.png
Canopus Construções,1866016760295816,1594297731869203,True,2026-04-17,2026-09-16,DCO,Saiba mais,http://fb.me/,{{product.name}},{{product.brand}},,1594297731869203_card0_card_image.png;1594297731869203_card1_card_image.png
Canopus Construções,1866016760295816,1750476949657427,True,2026-04-20,2026-09-16,VIDEO,Saiba mais,http://fb.me/,Parcelas acessíveis no Minha Casa Minha Vida,"Sair do aluguel nunca foi tão fácil! 🛑🏠  Com o lançamento do Village Natureza Belém, a Canopus preparou condições imbatíveis para você conquistar sua unidade:  💎 Entrada facilitada: A partir de R$ 1.000,00. 📉 Parcelamento: Em até 72 vezes. 💼 Para todos: Autônomos são bem-vindos e quem tem CLT pode usar o FGTS! 📍 Endereço Premium: Localização privilegiada na Av. Mário Covas.  Não deixe para amanhã o que você pode conquistar hoje com as facilidades do Minha Casa, Minha Vida. Unidades modernas com lazer completo para sua família. 🌳🏊  👉 Toque em ""Saiba Mais"" e fale com um de nossos consultores pelo WhatsApp!",belém,1750476949657427_0_video_hd.mp4;1750476949657427_0_video_sd.mp4;1750476949657427_0_video_preview.jpg
Canopus Construções,1866016760295816,3459859594183072,True,2026-04-20,2026-09-16,VIDEO,Saiba mais,http://fb.me/,Parcelas acessíveis no Minha Casa Minha Vida,"Sair do aluguel nunca foi tão fácil! 🛑🏠  Com o lançamento do Village Natureza Belém, a Canopus preparou condições imbatíveis para você conquistar sua unidade:  💎 Entrada facilitada: A partir de R$ 1.000,00. 📉 Parcelamento: Em até 72 vezes. 💼 Para todos: Autônomos são bem-vindos e quem tem CLT pode usar o FGTS! 📍 Endereço Premium: Localização privilegiada na Av. Mário Covas.  Não deixe para amanhã o que você pode conquistar hoje com as facilidades do Minha Casa, Minha Vida. Unidades modernas com lazer completo para sua família. 🌳🏊  👉 Toque em ""Saiba Mais"" e fale com um de nossos consultores pelo WhatsApp!",belém,3459859594183072_0_video_hd.mp4;3459859594183072_0_video_sd.mp4;3459859594183072_0_video_preview.jpg
Canopus Construções,1866016760295816,1460390922239791,True,2026-04-20,2026-09-16,VIDEO,Saiba mais,http://fb.me/,Parcelas acessíveis no Minha Casa Minha Vida,"Sair do aluguel nunca foi tão fácil! 🛑🏠  Com o lançamento do Village Natureza Belém, a Canopus preparou condições imbatíveis para você conquistar sua unidade:  💎 Entrada facilitada: A partir de R$ 1.000,00. 📉 Parcelamento: Em até 72 vezes. 💼 Para todos: Autônomos são bem-vindos e quem tem CLT pode usar o FGTS! 📍 Endereço Premium: Localização privilegiada na Av. Mário Covas.  Não deixe para amanhã o que você pode conquistar hoje com as facilidades do Minha Casa, Minha Vida. Unidades modernas com lazer completo para sua família. 🌳🏊  👉 Toque em ""Saiba Mais"" e fale com um de nossos consultores pelo WhatsApp!",belém,1460390922239791_0_video_hd.mp4;1460390922239791_0_video_sd.mp4;1460390922239791_0_video_preview.jpg
Canopus Construções,1866016760295816,2004945376810360,True,2026-05-11,2026-09-16,VIDEO,Enviar mensagem pelo WhatsApp,https://api.whatsapp.com/send,Saia do Aluguel com a Canopus,"🌇 Prepare-se para um novo jeito Prime de morar!  O Village Prime Eldorado une localização, conforto e modernidade em um só lugar — com mensais a partir de R$699 e renda a partir de R$4.000.  Piscina, área de lazer completa, segurança e o privilégio de estar a poucos minutos dos principais pontos da Cohama.  💡 Viver bem nunca foi tão possível. 🚀 Cadastre-se e descubra como garantir seu apê com condições exclusivas do Minha Casa, Minha Vida.",,2004945376810360_0_video_hd.mp4;2004945376810360_0_video_sd.mp4;2004945376810360_0_video_preview.jpg
Canopus Construções,1866016760295816,27100892532875755,True,2026-05-29,2026-09-16,VIDEO,Ver detalhes,http://fb.me/,Renda a partir de R$2.600,"Com apenas R$499 de sinal, você sai do aluguel e conquista o seu apê! O Gran Village do Sol II é o lugar ideal para quem busca conforto, segurança e lazer completo.  ✨ Apartamentos com suíte e varanda ✨ Entrada facilitada em até 72x ✨ Mensais a partir de R$497  🏡 Seu lugar ao sol chegou — e com as melhores condições da Canopus. 👉 Clique em Saiba Mais e garanta o seu antes que as vagas acabem!",,27100892532875755_0_video_hd.mp4;27100892532875755_0_video_sd.mp4;27100892532875755_0_video_preview.jpg
Canopus Construções,1866016760295816,1518392673157101,True,2026-05-29,2026-09-16,VIDEO,Ver detalhes,http://fb.me/,Mensais a partir de R$497,"Tá difícil sair do aluguel? Aqui a conta fecha de verdade. No Village Garden II, você conquista seu apê com condições que cabem no bolso:  💥 Renda mínima: só R$ 1.900 💥 Mensais a partir de R$ 497 💥 Entrada facilitada em 72x 💥 Sinal simbólico de R$ 100  E ainda mora em uma localização estratégica: em frente ao Aldebaran Leste e a poucos minutos de escolas, farmácias, Mix Matheus, UPA e maternidade.  Clique e receba sua simulação grátis, sem compromisso!",,1518392673157101_0_video_hd.mp4;1518392673157101_0_video_sd.mp4;1518392673157101_0_video_preview.jpg
Canopus Construções,1866016760295816,2729888960719567,True,2026-05-29,2026-09-16,VIDEO,Ver detalhes,http://fb.me/,Mensais a partir de R$500,"🚨 Gran Village Juazeiro está acabando! Seu apê com lazer completo e segurança na melhor localização de Juazeiro!  ✅ Minha Casa Minha Vida ✅ Mensais a partir de R$ 500 ✅ Entrada facilitada em até 72x ✅ Sinal de apenas R$ 499 ✅ ITBI + Cartório grátis ✅ Até R$ 55 mil de subsídio do Governo Federal ✅ Desconto de R$ 20 mil com o programa Entrada Moradia ✅ Renda a partir de R$1.800  📦 Obras avançadas! ⏳ Quem deixar pra depois, fica de fora!  👉 Clique em ""Saiba Mais"" e garanta o seu!",,2729888960719567_0_video_hd.mp4;2729888960719567_0_video_sd.mp4;2729888960719567_0_video_preview.jpg
Canopus Construções,1866016760295816,1388616506380610,True,2026-05-29,2026-09-16,VIDEO,Ver detalhes,http://fb.me/,Entrada de apenas R$100,"🏡 Agora ficou fácil conquistar seu apê em Teresina! No Gurupi, ao lado das Águas de Teresina e a 1 minuto do Carvalho, você encontra apartamentos de 2 quartos com lazer completo e piscina. E o melhor: financiado 100% pelo Minha Casa Minha Vida, com entrada simbólica de apenas R$ 100 e parcelas a partir de R$ 497, começando a pagar só quando o imóvel estiver pronto.  📲 Renda mínima de R$ 1.800. Clique e receba sua simulação grátis, sem compromisso!",,1388616506380610_0_video_hd.mp4;1388616506380610_0_video_sd.mp4;1388616506380610_0_video_preview.jpg
